№;Индекс MP;Бренд MP;Цена, СУ;Валюта, ID;Таможенный код;Поставщик, MP SUPPL_ID;Наша фирма, MP OURCOMPANY_ID;Курс к ГРН;Склад ID;Ячейка ID;Кол-во
Перенос остатков #1;T1114050;TOKO;1,467;1;8421230090;12;2;28,10;1;1;343
Перенос остатков #1;T1146018;TOKO;1,245;1;8421230090;12;2;28,10;1;1;114
Перенос остатков #1;T1202003;TOKO;0,974;1;8421310000;12;2;28,10;1;1;7
Перенос остатков #1;T1202014;TOKO;1,382;1;8421310000;12;2;28,10;1;1;176
Перенос остатков #1;T1202016;TOKO;1,337;1;8421310000;12;2;28,10;1;1;370
Перенос остатков #1;T1202030;TOKO;1,504;1;8421310000;12;2;28,10;1;1;234
Перенос остатков #1;T1203012;TOKO;2,154;1;8421310000;12;2;28,10;1;1;159
Перенос остатков #1;T1203013;TOKO;1,651;1;8421310000;12;2;28,10;1;1;117
Перенос остатков #1;T1203028;TOKO;1,404;1;8421310000;12;2;28,10;1;1;105
Перенос остатков #1;T1203049;TOKO;1,784;1;8421310000;12;2;28,10;1;1;298
Перенос остатков #1;T1204018;TOKO;1,349;1;8421310000;12;2;28,10;1;1;264
Перенос остатков #1;T1204024;TOKO;1,239;1;8421310000;12;2;28,10;1;1;188
Перенос остатков #1;T1204039;TOKO;1,476;1;8421310000;12;2;28,10;1;1;11
Перенос остатков #1;T1211048;TOKO;1,850;1;8421310000;12;2;28,10;1;1;96
Перенос остатков #1;T1211058;TOKO;1,468;1;8421310000;12;2;28,10;1;1;320
Перенос остатков #1;T1211068;TOKO;1,513;1;8421310000;12;2;28,10;1;1;237
Перенос остатков #1;T1211080;TOKO;1,775;1;8421310000;12;2;28,10;1;1;90
Перенос остатков #1;T1211083;TOKO;1,598;1;8421310000;12;2;28,10;1;1;402
Перенос остатков #1;T1212045;TOKO;1,591;1;8421310000;12;2;28,10;1;1;117
Перенос остатков #1;T1212047;TOKO;1,491;1;8421310000;12;2;28,10;1;1;399
