Индекс;Бренд;Код УКТ ЗЕД;Кол-во;ЦСДО;Вес нетто, кг.
T1152003-Q;TOKO;8421230090;400;1,34;264
T1203038;TOKO;8421310000;500;1,09;150
T1203043;TOKO;8421310000;300;1,2;123,3
T1203049-TEST;TOKO;8421310000;300;1,38;133,5
