Индекс;Бренд;Код УКТ ЗЕД;Кол-во;ЦСДО;Вес нетто, кг.
T1152003-Q;TOKO;8421230090;400;38,5;264
T1203038;SIDEM;8421310000;500;30,5;150
T1203043;TOKO;8421310000;300;40,5;123,3
T1203049-TEST;TOKO;8421310000;300;38,75;133,5
