Индекс;Бренд;Код УКТ ЗЕД;Кол-во;ЦСДО;Вес нетто, кг.
T1152003-Q;TOKO;8421230090;400;38,50;264,00
T1203038;TOKO;8421310000;500;30,50;150,00
T1203043;TOKO;8421310000;300;40,50;123,30
T1203049-TEST;TOKO;8421310000;300;38,75;133,50
